         80910166 function calls (80870843 primitive calls) in 69.643 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9298    0.423    0.000   65.149    0.007 /voyager/projects/xgao/LivSim-LTX/LivSim_Processing/event.py:196(OrganArrival)
     9298   16.704    0.002   64.138    0.007 /voyager/projects/xgao/LivSim-LTX/LivSim_Processing/allocate.py:7(Allocate)
     9294    1.059    0.000   41.739    0.004 /voyager/projects/xgao/LivSim-LTX/LivSim_Processing/allocate.py:172(MatchRun)
   159276    2.676    0.000   37.780    0.000 /voyager/projects/xgao/LivSim-LTX/LivSim_Processing/allocate.py:242(Offer)
   159276    2.769    0.000   32.588    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/npyio.py:771(loadtxt)
   159276    0.227    0.000   17.295    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/_datasource.py:155(open)
   159276    0.378    0.000   14.680    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/_datasource.py:487(open)
   159276    0.431    0.000    9.686    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/_datasource.py:344(_findfile)
   318552    3.031    0.000    6.880    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/npyio.py:972(read_data)
    65087    4.079    0.000    5.192    0.000 {built-in method builtins.sorted}
   159276    0.493    0.000    4.038    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/_datasource.py:375(abspath)
   477828    0.863    0.000    3.218    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/_datasource.py:302(_isurl)
   637105    1.014    0.000    3.018    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/urllib/parse.py:366(urlparse)
  2548133    2.900    0.000    2.900    0.000 /voyager/projects/xgao/LivSim-LTX/LivSim_Processing/allocate.py:207(MatchCheck)
   318552    0.574    0.000    2.510    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/_datasource.py:293(_possible_names)
   159278    1.946    0.000    2.437    0.000 {built-in method io.open}
   159276    0.151    0.000    2.388    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/_datasource.py:246(__init__)
   318552    0.984    0.000    2.295    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/_datasource.py:417(_sanitize_relative_path)
   159276    0.326    0.000    2.236    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/posixpath.py:372(abspath)
533619/496211    1.937    0.000    2.227    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   477828    0.477    0.000    2.223    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/_datasource.py:263(_iszip)
   116158    0.888    0.000    2.125    0.000 /voyager/projects/xgao/LivSim-LTX/LivSim_Processing/event.py:82(Progression)
  1114932    1.164    0.000    2.053    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/npyio.py:963(split_line)
   159276    1.362    0.000    1.605    0.000 {built-in method builtins.next}
   477828    1.061    0.000    1.596    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/posixpath.py:334(normpath)
   318552    0.199    0.000    1.485    0.000 <__array_function__ internals>:2(dot)
   136287    1.363    0.000    1.363    0.000 {method 'pop' of 'list' objects}
  2375185    1.309    0.000    1.309    0.000 {method 'astype' of 'numpy.generic' objects}
   477828    0.375    0.000    1.206    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/posixpath.py:117(splitext)
   637105    0.675    0.000    1.163    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/urllib/parse.py:417(urlsplit)
   176809    1.117    0.000    1.117    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
 10424841    1.113    0.000    1.113    0.000 /voyager/projects/xgao/LivSim-LTX/LivSim_Processing/allocate.py:154(<lambda>)
